PWSID,PWS_Name,Counties Served,Primacy_agency,Suspect LPA?,TYPE_consolidated_2018_original,Draft_inst_update_source,Draft_inst_update,Final_inst_update,Inst_Subtype,Notes,Notes last updated,Weird case?,,,,,,,,,,,,,,
CA0310001,CITY OF JACKSON,Amador,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA0310004,"PLYMOUTH, CITY OF",Amador,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA0410001,CITY OF BIGGS,Butte,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA0410004,CITY OF GRIDLEY,Butte,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA0510003,"ANGELS, CITY OF",Calaveras,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA0610002,CITY OF COLUSA,Colusa,SWRCB,,City,Consolidations,City,City,,,,,,,,,,,,,,,,,,
CA0610004,CITY OF WILLIAMS,Colusa,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1900542,"LOS ANGELES, CITY OF - POWER PLANT #2",Los Angeles,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3600283,DEPARTMENT OF WATER AND POWER,San Bernardino,LPA66,,City,Original,City,City,,City of big bear,1/27/2023,,,,,,,,,,,,,,,
CA3810008,THOMAS SHAFT WHOLESALE,San Joaquin,SWRCB,,City,Original,City,City,,Wholesaler to SF Regional system via Hetch Hetchy Aqueduct,3/2/2023,,,,,,,,,,,,,,,
CA5010026,WATERFORD - HICKMAN,Stanislaus,SWRCB,,City,Consolidations,City,City,,181 metered SC and 600 people and not under LPA,3/2/2023,,,,,,,,,,,,,,,
CA0710001,CITY OF ANTIOCH,Contra Costa,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA0710004,BRENTWOOD,Contra Costa,SWRCB,NO,City,Consolidations,City,City,,,,,,,,,,,,,,,,,,
CA0710006,CITY OF MARTINEZ,Contra Costa,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA0710008,CITY OF PITTSBURG,Contra Costa,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA0810001,CITY OF CRESCENT CITY,Del Norte,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA0910003,"PLACERVILLE, CITY OF - MAIN",El Dorado,SWRCB,NO,City,Consolidations,City,City,,,,,,,,,,,,,,,,,,
CA1010003,CITY OF CLOVIS,Fresno,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1010004,COALINGA-CITY,Fresno,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1010005,FIREBAUGH CITY,Fresno,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1010006,CITY OF FOWLER,Fresno,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1010007,CITY OF FRESNO,Fresno,SWRCB,,City,Consolidations,City,City,,,,,,,,,,,,,,,,,,
CA1010018,"KERMAN, CITY OF",Fresno,SWRCB,,City,Consolidations,City,City,,,,,,,,,,,,,,,,,,
CA1010019,"KINGSBURG, CITY OF",Fresno,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1010021,"MENDOTA, CITY OF",Fresno,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1010023,CITY OF ORANGE COVE,Fresno,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1010025,CITY OF PARLIER,Fresno,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1010027,"REEDLEY, CITY OF",Fresno,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1010029,CITY OF SANGER,Fresno,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1010034,"SAN JOAQUIN, CITY OF",Fresno,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1010044,"HURON, CITY OF",Fresno,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1110001,CITY OF ORLAND,Glenn,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1210001,"ARCATA, CITY OF",Humboldt,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1210002,"BLUE LAKE, CITY OF",Humboldt,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1210004,"EUREKA, CITY OF",Humboldt,SWRCB,,City,Consolidations,City,City,,,,,,,,,,,,,,,,,,
CA1210006,"FORTUNA, CITY OF",Humboldt,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1210012,"RIO DELL, CITY OF",Humboldt,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1210018,"TRINIDAD, CITY OF",Humboldt,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1310001,"BRAWLEY, CITY OF",Imperial,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1310002,"CALEXICO, CITY OF",Imperial,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1310004,"EL CENTRO, CITY OF",Imperial,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1310005,"HOLTVILLE, CITY OF",Imperial,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1310006,"IMPERIAL, CITY OF",Imperial,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1310008,"WESTMORLAND, CITY OF",Imperial,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1400099,MOUNTAIN VIEW TRAILER COURT,Inyo,SWRCB,,City,Original,City,City,,LADWP operates,1/27/2023,,,,,,,,,,,,,,,
CA1400155,CONTROL GORGE POWER PLANT,Inyo,SWRCB,,CSD,Original,CSD,City,,"I think LADWP owns and oeprates this, is an appointed board by mayor",,,,,,,,,,,,,,,,
CA1410001,"BISHOP, CITY OF",Inyo,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1410002,LADWP - INDEPENDENCE,Inyo,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1410003,LADWP - LONE PINE,Inyo,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1410004,LADWP - BIG PINE,Inyo,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1410510,LADWP - MANZANAR,Inyo,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1500324,WONDER ACRES WATER SYSTEM,Kern,SWRCB,,City,Original,City,City,,City of california city operates,1/27/2023,,,,,,,,,,,,,,,
CA1510005,"DELANO, CITY OF",Kern,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1510013,"MCFARLAND, CITY OF",Kern,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1510019,"SHAFTER, CITY OF",Kern,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1510020,"TEHACHAPI, CITY OF",Kern,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1510021,"WASCO, CITY OF",Kern,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1510031,"BAKERSFIELD, CITY OF",Kern,SWRCB,,City,Consolidations,City,City,,,,,,,,,,,,,,,,,,
CA1510032,"CALIFORNIA CITY, CITY OF",Kern,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1610002,"AVENAL, CITY OF",Kings,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1610003,"HANFORD, CITY OF",Kings,SWRCB,NO,City,Consolidations,City,City,,,,,,,,,,,,,,,,,,
CA1610004,"CORCORAN, CITY OF",Kings,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1610005,"LEMOORE, CITY OF",Kings,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1710004,"LAKEPORT, CITY OF",Lake,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1810001,CITY OF SUSANVILLE,Lassen,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910001,CITY OF ALHAMBRA,Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910003,CITY OF ARCADIA,Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910007,AZUSA LIGHT AND WATER,Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910019,"CERRITOS - CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910026,"COMPTON-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910029,CITY OF INDUSTRY WATERWORKS SYSTEMS,Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910034,"DOWNEY - CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910038,"EL MONTE-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910040,"EL SEGUNDO-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910042,"PICO RIVERA - CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910043,"GLENDALE-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910044,"GLENDORA-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910047,HAWTHORNE-CITY WATER DEPT.,Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910049,"HUNTINGTON PARK-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910050,"COMMERCE-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910051,"INGLEWOOD- CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910062,"LA VERNE, CITY WD",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910065,"LONG BEACH-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",Los Angeles,SWRCB,NO,City,Consolidations,City,City,,,,,,,,,,,,,,,,,,
CA1910073,"LOMITA-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910079,"LYNWOOD-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910083,"MANHATTAN BEACH-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910090,"MONROVIA-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910092,"MONTEREY PARK-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910105,"PARAMOUNT - CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910108,CITY OF BELL GARDENS,Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910117,"MONTEBELLO-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910124,PASADENA WATER AND POWER,Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910126,"POMONA - CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910127,"COVINA-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910143,"SAN FERNANDO-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910146,"SANTA MONICA-CITY, WATER DIVISION",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910148,"SIERRA MADRE-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910149,"SIGNAL HILL - CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910152,"SOUTH GATE-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910154,CITY OF SOUTH PASADENA,Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910156,"BEVERLY HILLS-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910167,"VERNON-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910173,"WHITTIER-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910179,"BURBANK-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910191,"NORWALK - CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910213,"TORRANCE-CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910239,"LAKEWOOD - CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA1910245,"SANTA FE SPRINGS - CITY, WATER DEPT.",Los Angeles,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2010001,CHOWCHILLA CITY WATER DEPT,Madera,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2010002,CITY OF MADERA,Madera,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2310001,"FORT BRAGG, CITY OF",Mendocino,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2310003,"UKIAH, CITY OF",Mendocino,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2310004,"WILLITS, CITY OF",Mendocino,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2410001,CITY OF ATWATER,Merced,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2410002,CITY OF DOS PALOS,Merced,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2410003,CITY OF GUSTINE,Merced,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2410004,CITY OF LIVINGSTON,Merced,SWRCB,,City,Consolidations,City,City,,,,,,,,,,,,,,,,,,
CA2410005,CITY OF LOS BANOS,Merced,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2410009,CITY OF MERCED,Merced,SWRCB,,City,Consolidations,City,City,,,,,,,,,,,,,,,,,,
CA2510001,CITY OF ALTURAS,Modoc,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2710007,"GONZALES, CITY OF",Monterey,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2710008,"GREENFIELD, CITY OF",Monterey,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2710011,"SOLEDAD, CITY OF",Monterey,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2710018,SEASIDE MUNICIPAL WATER SYSTEM,Monterey,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2810002,"CALISTOGA, CITY OF",Napa,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2810003,"NAPA, CITY OF",Napa,SWRCB,NO,City,Consolidations,City,City,,,,,,,,,,,,,,,,,,
CA2810004,"ST. HELENA, CITY OF",Napa,SWRCB,NO,City,Consolidations,City,City,,,,,,,,,,,,,,,,,,
CA2810005,"AMERICAN CANYON, CITY OF",Napa,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2810007,TOWN OF YOUNTVILLE,Napa,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2910001,CITY OF GRASS VALLEY,Nevada,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA2910002,CITY OF NEVADA CITY,Nevada,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010001,CITY OF ANAHEIM,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010002,CITY OF BREA,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010003,CITY OF BUENA PARK,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010010,CITY OF FULLERTON,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010018,CITY OF LA HABRA,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010023,CITY OF NEWPORT BEACH,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010027,CITY OF ORANGE,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010030,CITY OF SAN JUAN CAPISTRANO,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010036,CITY OF SAN CLEMENTE,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010038,CITY OF SANTA ANA,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010041,CITY OF SEAL BEACH,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010046,CITY OF TUSTIN,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010053,CITY OF HUNTINGTON BEACH,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010062,CITY OF GARDEN GROVE,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010064,CITY OF WESTMINSTER,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010069,CITY OF FOUNTAIN VALLEY,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3010100,CITY OF LA PALMA,Orange,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3110004,CITY OF LINCOLN,Placer,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3110008,CITY OF ROSEVILLE,Placer,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3210003,CITY OF PORTOLA,Plumas,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3301428,BLYTHE - MESA RANCH,Riverside,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3301630,BLYTHE - HIDDEN BEACHES,Riverside,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3310003,BLYTHE - CITY OF,Riverside,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3310006,"BANNING, CITY OF",Riverside,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3310007,COACHELLA WATER AUTHORITY,Riverside,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3310016,"HEMET, CITY OF",Riverside,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3310025,"NORCO, CITY OF",Riverside,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3310029,"PERRIS, CITY OF",Riverside,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3310031,"RIVERSIDE, CITY OF",Riverside,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3310032,"SAN JACINTO, CITY OF",Riverside,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3310037,"CORONA, CITY OF",Riverside,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3310082,NORTH PERRIS WATER SYSTEM,Riverside,SWRCB,,IOU,Original,IOU,City,,the contact for this is the CITY of PERRIS -- bhill@cityofperris.org - how did they get coded as IOU?,2/16/2023,,,,,,,,,,,,,,,
CA3410011,"GALT, CITY OF",Sacramento,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3410014,"FOLSOM, CITY OF - MAIN",Sacramento,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3410020,CITY OF SACRAMENTO MAIN,Sacramento,SWRCB,NO,City,Consolidations,City,City,,,,,,,,,,,,,,,,,,
CA3410030,"FOLSOM, CITY OF - ASHLAND",Sacramento,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3510001,"HOLLISTER, CITY OF",San Benito,SWRCB,,City,Consolidations,City,City,,,,,,,,,,,,,,,,,,
CA3510002,"SAN JUAN BAUTISTA, CITY OF",San Benito,SWRCB,,City,Original,City,City,,,,,,,,,,,,,,,,,,
CA3610001,"ADELANTO, CITY OF",San Bernardino,SWRCB,NO,City,Original,City,City,,,,,,,,,,,,,,,,,,
