PWSID,PWS_Name,Counties Served,Primacy_agency,Suspect LPA?,TYPE_consolidated_2018_original,Draft_inst_update_source,Draft_inst_update,Final_inst_update,Final_inst_update,Inst_Subtype,Notes,Notes last updated,Weird case?,,,,,,,,,,,,,,
CA1500550,WEST VALLEY MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500554,EAST INYOKERN MUTUAL WATER,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500555,MUSTANG MUTUAL WATER SYSTEM,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500556,HART FLAT BEAR MUTUAL WATER,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500557,STOCKDALE RANCHOS MUTUAL WATER CO,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500561,ROUND MOUNTAIN WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500563,CHINA LAKE ACRES MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500569,VALLEY VIEW ESTATES MUTUAL WATER CO,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500593,UPLANDS OF THE KERN MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500599,CHOCTAW VALLEY MUTUAL WATER CO.,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1502569,FIRST MUTUAL WATER SYSTEM,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1502600,WEGIS MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1502619,SOUTH DESERT MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1502620,POND MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1502645,MEADOWS OF THE KERN MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1502653,BELLA VISTA MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1502663,TOWN & COUNTRY WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1502690,"DUNE 3 MUTUAL WATER COMPANY, LLC",Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1503329,HART CREEK ESTATES MUTUAL WATER CO.,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1503475,WESTERN ACRES MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1503526,WINI MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1510023,LAKE OF THE WOODS MWC,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1510028,MIL POTRERO MWC,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1510054,PINON PINES MWC,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1600507,HARDWICK WATER COMPANY,Kings,LPA46,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1700508,GLENHAVEN MUTUAL WATER COMPANY,Lake,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1700518,LOCH LOMOND MUTUAL WATER CO,Lake,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1700536,SUNRISE SHORE MUTUAL WATER COMPANY,Lake,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1700546,CLEAR WATER MUTUAL WATER COMPANY,Lake,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1700549,CORINTHIAN BAY MUTUAL WATER COMPANY,Lake,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1700568,HARBOR VIEW MUTUAL WATER COMPANY,Lake,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1700657,WINDFLOWER POINT MUTUAL WATER COMPANY,Lake,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1710003,HIGHLANDS MUTUAL WATER COMPANY,Lake,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1710008,NICE MUTUAL WATER COMPANY,Lake,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1710014,MT. KONOCTI MUTUAL WATER COMPANY,Lake,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1800511,LAKE FOREST MUTUAL W.C.,Lassen,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1800534,SPAULDING EAGLE LAKE MWC,Lassen,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900130,DEL RIO MUTUAL,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900523,WHITE FENCE FARMS MWC NO.3,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900563,"SUNDALE MUTUAL WATER COMPANY A, B",Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900803,EL DORADO MUTUAL WATER CO.,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910002,AMARILLO MUTUAL WATER COMPANY,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910013,BELLFLOWER - SOMERSET MWC,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910023,AVERYDALE MWC,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910053,HEMLOCK MUTUAL WATER CO.,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910056,LAKE ELIZABETH MUTUAL WATER CO.,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910081,LYNWOOD PARK MUTUAL WATER CO.,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910084,MAYWOOD MUTUAL WATER CO. #1,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910085,MAYWOOD MUTUAL WATER CO. #2,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910086,MAYWOOD MUTUAL WATER CO. #3,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910158,STERLING MUTUAL WATER COMPANY,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910159,TRACT 180 MUTUAL WATER CO.,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910160,TRACT 349 MUTUAL WATER CO.,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910165,VALLEY VIEW MUTUAL WATER CO.,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910169,WALNUT PARK MUTUAL WATER CO.,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910246,LAND PROJECTS MUTUAL WATER CO.,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910249,WHITE FENCE FARMS MWC NO. 1,Los Angeles,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2000524,SKY ACRES MUTUAL WATER CORP,Madera,LPA50,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2000526,PIKE RANCH MUTUAL WATER CO,Madera,LPA50,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2010017,"TESORO VIEJO MASTER MWC, INC.",Madera,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2100519,ESTERO MUTUAL,Marin,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2100579,NICASIO VALLEY RANCH MUTUAL,Marin,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2210002,PONDEROSA BASIN MUTUAL WTR CO,Mariposa,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2210903,FISHCAMP MUTUAL WATER COMPANY,Mariposa,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2210906,MARIPOSA PINES MUTUAL,Mariposa,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2300502,ALBION MUTUAL WATER COMPANY,Mendocino,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2300506,MEADOW ESTATES MUTUAL,Mendocino,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2300590,SURFWOOD MUTUAL WATER CORPORATION,Mendocino,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2300591,PINE MOUNTAIN MUTUAL WATER CO.,Mendocino,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2300596,BIG RIVER VISTA MUTUAL WATER COMPANY,Mendocino,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2300604,POINT OF VIEW MUTUAL WATER CO,Mendocino,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2300605,RIVER ESTATES MUTUAL WATER COMPANY,Mendocino,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2300606,LAKE VIEW MUTUAL WATER CO.,Mendocino,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2300663,BRANSCOMB MOBILE HOME PARK,Mendocino,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2300832,HILLS RANCH MUTUAL WATER COMPANY,Mendocino,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2810001,HOWELL MOUNTAIN MUTUAL WATER COMPANY,Napa,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3000519,HYNES ESTATES MUTUAL WATER CO.,Orange,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3000585,PAGE AVENUE MUTUAL WATER COMPANY,Orange,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3000825,SOUTH MIDWAY CITY MUTUAL WATER CO.,Orange,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3010097,MIDWAY CITY MUTUAL WC,Orange,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0706004,OAKLEY MUTUAL WATER COMPANY,Contra Costa,SWRCB,Contra Costa-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0707556,SANDMOUND MUTUAL,Contra Costa,SWRCB,Contra Costa-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0707572,BETHEL ISLAND MUTUAL WATER CO,Contra Costa,SWRCB,Contra Costa-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0707573,DELTA MUTUAL WATER COMPANY,Contra Costa,SWRCB,Contra Costa-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0707576,PLEASANTIMES MUTUAL WATER CO,Contra Costa,SWRCB,Contra Costa-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0707585,MORAGA HEIGHTS MUTUAL WATER,Contra Costa,SWRCB,Contra Costa-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3110019,SQUAW VALLEY MWC,Placer,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1300514,COYOTE VALLEY MUTUAL WATER CO,Imperial,SWRCB,Imperial-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1300664,RIVERFRONT MUTUAL WATER COMPANY,Imperial,SWRCB,Imperial-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900075,BLEICH FLATS MUTUAL,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900100,METTLER VALLEY MUTUAL,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900102,WESTSIDE PARK MUTUAL WATER,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900145,REESEDALE MUTUAL,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900146,SUNNYSIDE FARMS MUTUAL WATER COMPANY,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900154,TIERRA BONITA MUTUAL WATER,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900155,WILSONA GARDENS MUTUAL,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900301,SHADOW ACRES MUTUAL WATER COMPANY,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900303,LLANO MUTUAL WATER COMPANY,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900794,ANTELOPE PARK MUTUAL WATER COMPANY,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900801,COLORADO MUTUAL WATER COMPANY,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900804,EVERGREEN MUTUAL WATER COMPANY,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900809,LANDALE MUTUAL WATER COMPANY,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900936,AQUA J. MUTUAL WATER COMPANY,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1907014,NORTH TRAILS MUTUAL WATER COMPANY,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1907028,SPV WATER COMPANY,Los Angeles,SWRCB,Los Angeles-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2000502,BASS LAKE HEIGHTS MUTUAL WATER,Madera,SWRCB,Madera-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3210006,LAKE ALMANOR COUNTRY CLUB MWC,Plumas,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3210007,WEST ALMANOR M.W.C.,Plumas,SWRCB,NO,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3301031,BANNING HTS. MUTUAL WATER CO.,Riverside,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3301107,CARVER TRACT MUTUAL WATER COMP,Riverside,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3301180,ANZA MUTUAL WATER COMPANY,Riverside,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3301502,PARADISE VALLEY MWC,Riverside,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3301535,RANCHO CARRILLO MWC,Riverside,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3301541,RECHE CANYON MUTUAL WATER CO.,Riverside,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3301676,THOMAS MOUNTAIN WATER COMPANY,Riverside,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3301682,TRAILS END MUTUAL WATER COMPANY,Riverside,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3301937,MESQUITE MUTUAL WATER CO.,Riverside,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3310004,BOX SPRINGS MUTUAL WC,Riverside,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3310017,SOUTH MESA WC,Riverside,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3310046,FARM MUTUAL W.C. (THE),Riverside,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3310051,MYOMA DUNES MUTUAL WATER COMPANY,Riverside,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2000506,SIERRA LINDA MUTUAL WATER CO,Madera,SWRCB,Madera-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2000509,CASCADEL MUTUAL WATER SYSTEM,Madera,SWRCB,Madera-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2000512,EAST ACRES MUTUAL WATER COMPANY,Madera,SWRCB,Madera-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2000521,BROADVIEW TERRACE MUTUAL WATER COMPANY,Madera,SWRCB,FALSE,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2000527,YOSEMITE FORKS EST MUTUAL,Madera,SWRCB,Madera-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2000529,BONADELLE RANCHOS MUTUAL WATER,Madera,SWRCB,Madera-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2000530,CRASS MUTUAL WATER COMPANY,Madera,SWRCB,Madera-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2000534,LEISURE ACRES MUTUAL WATER COMPANY,Madera,SWRCB,Madera-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2000538,CEDAR VALLEY MUTUAL WATER CO,Madera,SWRCB,Madera-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2600532,LUNDY MUTUAL WATER COMPANY,Mono,SWRCB,Mono-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2600538,LOWER ROCK CREEK MUTUAL WATER CO.,Mono,SWRCB,Mono-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2600546,CROWLEY LAKE MUTUAL WATER COMPANY,Mono,SWRCB,Mono-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2600620,MOUNTAIN MEADOWS MWC,Mono,SWRCB,Mono-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2600621,WHITE MOUNTAIN MUTUAL WATER COMPANY,Mono,SWRCB,Mono-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2600699,CHALFANT VALLEY WEST M.W.C.,Mono,SWRCB,Mono-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2700503,ASSISI MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2700548,DOLAN RD MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2700656,MORO COJO MWA,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2700674,PARADISE LAKE MUTUAL WATER CO.,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2700702,PRUNEDALE MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2700709,RANCHO BORROMEO MWS,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3500510,MCMAHON ROAD MUTUAL WATER COMPANY,San Benito,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3500549,ROSA MORADA MUTUAL WATER COMPANY,San Benito,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3500550,SAN JUSTO MUTUAL WATER COMPANY,San Benito,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3500552,VENTURE ESTATES MWC,San Benito,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3500575,SPRINGWOOD ESTATES MWC,San Benito,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3500576,AROMAS HILLS MUTUAL WATER ASSOCIATION,San Benito,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3500578,LOS MADRONES MWC,San Benito,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3500579,VINEYARD ESTATES MWC,San Benito,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3500581,RANCHO SAN JOAQUIN MWC,San Benito,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3500823,BEST ROAD MWC,San Benito,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3500825,UNION HEIGHTS MWC,San Benito,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3500900,ASHFORD HIGHLANDS MWC,San Benito,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3500911,CREEKBRIDGE MUTUAL WATER COMPANY,San Benito,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3500912,COMSTOCK MUTUAL WATER COMPANY,San Benito,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2700731,Z RANCH MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2700775,TIERRA VERDE MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2701254,CARMEL RIVIERA MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2701263,PARTINGTON MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2701278,RANCHO CHAPARRAL MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2701279,COASTLANDS MWS (POST CREEK),Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2701364,PEDRAZZI MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2701452,MONTEREY DUNES MWA,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2701503,MESA DEL TORO MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2701570,LOS CARNEROS MWA,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2701589,SUNNY ACRES MWS,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2701731,BRANDON CREEK MWS,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2701789,HOLLY HILLS MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,At one point they were maintained by a local CSD but are now independent (http://pajarosunnymesa.com/index.php?page=water),3/1/2023,,,,,,,,,,,,,,,
CA2701800,TULARCITOS MWC,Monterey,SWRCB,Monterey-LPA,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
